yorum,duygu
basyapit..dahada ilerisi bence bu film ve joker yani heath ledger sinema tarihinde hicbizaman unutulmayacak bi yer alacak..,positive
Media marketten fakir tvl 90 kule tipi aldım almaz olaydım 5 kez servise yolladım kasko yaptırdım .sorunu saga sola dönerken takır tukur ses çıkartıyor keşke almasaydım hiç tavsiye etmem servis sıfır yazıklar osun,negative
çok tv seyreden bir aile değiliz. çocuklar istiyor diye aldık. fiyatına göre çok iyi.,positive
"ürünü eşim için aldım. bu ürünü almadan önce hem eşim hem de ben çok araştırdık, özellikle iyon teknolojisi ve boyalı saçlarda da yıpranma yapmadan kullanılabilmesi bu ürünü tercih etmemizdeki en önemli nedenlerden. ürün sipariş verdikten 2 gün sonra elimize ulaştı, ayrıca piyasa fiyatının da çok altında bir fiyata aldığımızı düşünüyorum.",positive
ürünü çok araştirdim fi̇yat konusunda daha uygun bi̇r yer bulamadim ve arkadaşimla 2 adet aldik  süper yikiyor. hemde pahali deterjan kullanmiyoruz. güzel maki̇ne ve sesi̇ rahatsiz etmi̇yor. tavsi̇ye ederi̇m.,positive
beklediğimden daha iyi bi ürün,positive
Komedi filmlerinin ustası Jim Carrey bu filmde de bizleri güldürmeyi başarıyor ...10 üzerinden 8 puan veriyorum ...,positive
ürün kısa zamanda geldi. fiyatına göre uygun ve kaliteli,positive
"ürün harika istediğim gibi geldi. i̇ç kısmını merak etmiştim, iç kısmı metal değil metal cinsinde bir plastikten yapılmıştır siyah renktedir. dış beyaz görünen kısım metaldir. ayrıca alt tabanında kaydırmaz sünger bulunmaktadır. 500 ml 'lik ağız kısmında kapağını açmadan içebileceğiniz kısım bulunmaktadır.",positive
Gerçekten Facia. Bu isimleri duyupta filme beklenti olmadan gitmek olmazdı. Ama bırakın beklentilerimin yarısını karşılamayı beni filmde yarım saat tutamadı.,negative
Halk büyük tepki gösteriyordu polise Neden koruyorsunuz Bırakın ölsün vatan hainleri diye haykırıyordu TEMMUZDESTANI,negative
"çok basit ve kullanışlı bir ürün. özellikle şarjının çabuk olması, titreşim özelliği ciddi artılarıdır. ses kalitesi güzel olup fiyat açısından mükemmel bir seçim olduğunu düşünüyorum.",positive
tatlı güzel bır ajanda,positive
kaliteli bir ürün çok beğendim bir çit aldım,positive
bu fiyata gore guzel performans..,positive
"sipariş verdiğim gün kargoya verildi, teşekkür ederim",positive
"reklamlarına aldanıp yanılmayın, buna verilecek parayla çok daha iyi ve kaliteli duş başlıkları alınabilir.",negative
pratik ve kullanışlı ben beğendim,positive
Her şey çok iyiydi. Etstura teşekkür ederim onların tavsiye üzerine gittim mennunum.,positive
tek kelime ile  uçakta yorumları okuyunca biz ne yaptık dedik ama hiç yazılıp çizildiği gibi değil evet turistik bir yer ama ilgi alaka hoşgörü son derece güzeldi günlük oda temizliği klimaların calışması yemeklerin güzelliği ve bol bol bı isteginiz arzunuz sıkıntınız var mı diye sorulması ile mükemmel bir işletme hizmette emegi gecen herkese sonsuz teşekkürler,positive
bu paraya alına bilinecek en iyi ürün.,negative
gerçekten güzel bir havlu fiyatına göre idare eder.,positive
gerçekten çok kaliteli. uygulaması da aynı şekilde kolay. daha pahalı olan muadiline göre hiçbir eksiği yok.,positive
zaman kaybı sadece.. ne oyunculuk ne de başka bişi belemek anlamsız bu filmden. ne efekt nede başka bişi. aşk filmi izlicekler daha değişik filmlere yönelsinler.,negative
i̇landa neyse kargoda gelende o fiyatına göre de bu kadar olabilirdi zaten tavsiye edilir. satıcıya teşekkürler.,positive
monte vidaları çok kalitesiz ancak montajı çok kolay. fiyatına göre oldukça iyi bir ürün.,positive
Guzel pisiriyor bir sıkıntı yasamadim,positive
"kişisel gelişim kitapları arasında en iyilerden birtanesi. mümin sekmanın kitapları hakikaten başarılı.i̇nsanın kendini keşfetmesine yol gösterici, şevk verici, hele kitap içindeki örneklemeler süper",positive
"şık, zarif bir ürün. o konuda hemen herkes hemfikir galiba. diğer noktalara gelirsek eğer;",positive
yahu arkadaşlar sizinle benim aynı filmi seyrettiğimize ben inanmıyorum bu filmin nersi güzel bu film seyirci yaparsa haluk bilginer ismi yüzünden yapar bu filmi gece yarısı seyrettim az aklsın uyuyodum,negative
İnsanın kıymeti yok ki hayvana kıymet versinler bazen çok şey umud ediyorsunuz,positive
ağız kısmından emdiği tozu yanlardaki hava kanallarından püskürterek tozun arabanızın heryerine dağılmasını sağlıyor.kesinlikle tavsiye etmiyorum...,negative
fiyat kalite konusunda oldukça başarılı firma ürününün arkasında duruyor,positive
"fazladan saç çıkartıyormu bilmiyorum, ama olanı dökmediği yada minimum döküntü yaptıgı kesin. kozmetik markaların pahalı şampuanları avuç avuç saçımı döktükten sonra bioxcine döndüm tekrar",positive
ürün fiyat performans bakımından başarılı.,positive
"ürünü aldım kullanışlı,yurt dışında çalıştığım içi,n böyle bir seti istiyordum ihtiyaçlarıma kolaylıkla cevap veriyor.kullanışlı bir alet umarım sizinde  işinizi görür",positive
Urun ilk geldiginde guzel biseydir dedim ama malesef 5 para etmez hic birsey cekemedim,negative
"2 yaşında oğlum için aldım ve devamlı kullandığım bez, fakat 3 gün önce aldığım paket çok kötü çıktı,i̇ncelmiş ve çok sızdırma yapıyor. fiyat kampanya yaptıkça kaliteyi düşürüyorlar, i̇ade edeceği̇m....",negative
teşekkürler gönül rahatlığı ile sipariş verebilirsiniz.,positive
cok ince kesinlikle sıcak hicbirsey içilmez. i̇yi bir ürün oldugunu düşünmüyorum. tekrar baska bir yerden almak zorunda kalacagımdan zarar ettim. almamanızı tavsiye ederim.,negative
çok süperdi şaheserdi izlediğim en iyi filmdi,negative
Odalar cok güzeldi.,positive
"bir kere şunu artık kabul ettim ki durex kondom konusunda dünya da bir numara, hepsini denemiş biri olarak diyorum ki bundan ötesi yok, kesinlikle artık hep durex alacağım...",positive
cok kisa surede isiniyor. kisa surede mukemmel sonuc alabilirsiniz benim saclarim belime kadar cok rahat ve guzel duzlestiriyorum. herkese tavsiye ederim parasini kesinlikle hakeden bir ürün,positive
ancak son siparişte fark ettik ki bezler değişmiş. çok kalitesiz olmuşlar.,negative
vaat ettiği her şeyi yapıyor. tefal kalitesi bambaşka,positive
ürünü başka bir yerden aldım. genel olarak kaliteli ve şık sayılır. ancak kamera uzun süre açık kalınca aşırı ısınıyor bu durum sinir bozucu bunun yanında foto kalitesi çok iyi kısaca ısınma haricinde güzel bi telefon,negative
tek kelime ile harika almak isteyenlere tavsiye ederim,positive
"Oldukça sıradan bir film, izleyerek zamanınızı kaybetmeyin",negative
beklediğim gibi değil. dokusu çok zayıf. rulo için sarılmış lastik izleri derin izler bırakmış düzelmiyor. daha önce aldığım 1.5 cm lik olanı daha tok ve kaliteli. ama bu 10 mm lik olanının malzeme kalitesi kötü. hayal kırıklığı yaşadım. 2 adet almıştım birini iade edebilirim....,negative
"Bana göre kasa küçük, bilekleri kalın olanlar için uygun değil küçük kalır.",negative
ürün orijinal ve telefonu güzel koruyor. elden kesinlikle kaymıyor.,positive
i̇nternetten alış veriş yapmaktan korkmayın.,positive
"sinamatör sana katılıyorum,çok merak edenler 6 ay beklesin zaten tv de çıkacak.bişey degil bu gidişle bütün tutulan dizileri film yapıcalar.türk sinaması izlicekseniz bekleyin g.o.r.a çıkacak.verdigimiz paraya deysin",negative
elif ağzının ortasına kürekle vurmak istiyorum seni pislik şırfıntı,negative
urun gayet guzel fiyatida iyi benim tv 124 ekran bence buyuk ekranlar icin biraz ufak gibi geldi,positive
Yer yer güzel yer yer sıkıcydı. Fazla üsütünde durulacak bir film değil. Ama ilginç bir film olmuş.,negative
çok muhteşem bir film sonu etkileyici gerçi ben filmin sonunu tahmin ettim ama atma yöntemiyle 9 verdim,negative
bir arkadaşımın durmadan izlemelisin diye hergün söylendiği filmi en sonunda tv de verdiler ve izledim.. Film bittiğimde tek söylediğim şey ''böyle bir filmi nasıl olurda aylarca izlememişim ben! '',positive
sağ eli soldan büyük parmaklarının biri küçük biri büyük ne biçim iş yapıyonuz,negative
çok memnunum her deli̇ğe gi̇rebi̇li̇yor çeki̇şi̇ de hari̇ka tavsi̇ye edebi̇leceği̇m bi̇r ürün hanimlara fi̇yat olarakda çok cazi̇p,positive
Bu film korku filmi mi? Hayır. Bu film gerilim filmi mi? Hayır. Bu filmin Testere 1’le bir alakası var mı? Hayır. Bu film mi? Hayır.,negative
Bir film uzadıkça suyunun çıktığını düşünenlerdenim.. İlk 2 si güzeldi ama bu sıkıcı olmuş.. İzlemeseniz de olur..,negative
5 günde elime geçti. hd köşeleri el kesecek kadar capakli. hızı güzel. dokunmasan şık duruyor.hb ye teşekkürler.;(,negative
fiyat performans açısından çok iyi beğendim iş görüyor..,positive
çok hoşuma gitti. tavsiye ederim.,positive
Ne kadar gereksiz bir filmdir bu....,negative
ürün güzel şıuk fakat müzik dinleyemiyorum telefonum vodafone 945 bilgisi olan varsa paylaşırsa cok sevinirim kulaklığın titreşim olayı cok hos tavsiye ederim,negative
gerçekten i̇i̇ guzel ve kali̇teli̇ vede farkli,positive
ürünün fiyatına göre özellikler yetersiz,negative
kaza ve kaderine rıza gösteren hayırlı ömür salih evlât dünya ve ahirette güzellik ihsan et ana ve babamızı da mağfiret,positive
Filmin sonundaki o tanıdık sesin -Sealın- filme bu kadar yakıştığını da yazamadan geçemeyeceğim,positive
hiç iyi değil beklentinin çok gerisinde tavsiye etmem,negative
fiyatı çok makul,positive
Ürünün bluetooth baglantisi sık sık kesiliyor. Bağlanti olmadığı için telefondaki programdan verileri elde edmiyorz. programi acik tekrar baglanti kurmak zorunda kaliyoruz.İade ve degişim talebimiz reddedildi.Dolayisiyla almanin pek bir anlami yok.,negative
alarm olayı iyi titreşimide kuvvetli fark ediliyor aramalarda alarmda,positive
hepsiburadaya çok tşkler ürün hemen elimeize ulaştı gerçekten çok kaliteli bir ürün yaklaşık 3 yıldır kullanıyorum değiş markalarıda kullandık fakat eşimde bende bun markadan çok memnunuz alına bilir ...,positive
orta kalite prima. piyasadan daha ucuz. tekrar alabilecegim urun. tavsiye ederim.,positive
4 gundur kullaniyorum cok harika .yalniz kurulum yaparken once. kucuk vidalari takip sonra en buyuk vidalari takmalisiniz.tesekkurler,positive
şimdilik memnunuz kullanışlı kibar tek  kötü yanı 8gb olması onun dışında gayet performanslı,positive
valla ben bişey anlamadım pek güzel değildi sadece sonunda çalan marş dinlenmeye değerdi diye düşünüyorum yazık olmuş emeklere bekleneni veremedi,negative
1. kanal geçişleri yavaş mı?,positive
3 farklı hayatı birleştiren bir film. evet başta bu fikir güzel gözüküyor ama 3 hayatta o kadar boş bir konu ile işlenmişki sanırsınızki duygu yüklü bir film ama tamamen sıradan ve gereksiz bir film olmuş. izleyipte harika mükemmel süper diyenlere bakmayın filmin hakkı en fazla 4/10,negative
1 hafta kullandik su kaynayinca otomatik kapama bozuldu.simdi servisle ugras  berbat bir urun tavsiye etmem.,negative
arkadaşlar bu filme verilen paraya yazık ben hiç beğenmedim ilk filmle hiç alakası yok bol küfür ama sıfır espiri var fiyaskodan başka bir şey değil iki tane güzel espiri var onlarda zaten fragmanda vermişler onun dışında bi güzellik yok :(,negative
mention mı çalıyor vay ak,negative
alıcı olarak ml den anlamamak ortak derdimiz. kutunun boyutlarını vermek en doğru seçim olacaktır. ama denediğimiz ve dildiğimiz bir ürün.. fiyat olarak da gayet iyi. ama seyahat boyu diye not düşülmeli...,negative
Hediye olarak almıştım.İlk kullanımdan itibaren içinde benekler oluştuğunu söylediler. Şu an için bilemiyorum. Ama korkmazın diğer ürünlerinden memnunuz.,positive
çok kötü olmuş beklenmeyecek bir performans verdiğim paraya acıdım...,negative
Daha nasıl basitleştirilebilirdi bilmiyorum.,negative
tek kelimeyle sıkıcı bana göre film de herşey çok çabuk oluyor savaş bile çok kısa bilmiyorum bu filmde mücadele uzun olmalıydı dıge dusunuyorum,negative
3 kere izlemeye çalıştım 3 ünde de uyuyup kaldım...tamamen sıkıcı ve uyuşuk yapılmış bir film...,negative
biricik karıma aldım. çok memnun oldu. ilk utusu gömlek jilet gibi oldu. küçük olması iyi ancak su haznesi küçük en fazla 3 parça utuler. bu fiyata en iyisi.,positive
i̇llaki turbolu araçta kullanılacaksada gerçekten bitmiş motorda bir şeyler yapabilir onun dışında pek bi işe yaramaz,negative
yılların eskitemediği kızların baygın baygın bakmasına vesile olan erkek kokusu..:) uzun bir aradan sonra tekrar aldım..,positive
fiyat uygun..boyutlar iyi..size yer sorunu yaratmayacak..temizlik konusunda da hayal ettiğiniz sonucu verir nitelikte..sadece bir saklama kabı yada kılıfı falan  olsaydı daha iyi olacaktı diyebilirim gene de ihtiyacınız varsa hemen alın bence..,negative
"ürün güzel, anlatıldığı gibi ama kargo çok uzun sürdü biraz daha dikkat lütfen",negative
senelerdir maxfactor kullanıcısıyım.ve bu ürünler harika.cildiniz hem hava alıyor hemde pürüssüz bir cilde sahipsiniz.hergün makyaj yapanlar kesinlikle bu ürünü kullansın.,positive
ben bu kadar basit bi ürün görmedim.. küçücük bi sünger allah aşkına o süngerle ne kadar temizlik olcak..kesinlikle gereksiz bi ürün.,negative
ben bir işe yaradığını sanmıyorum. yada ben uygulayamadım ama bir işe yaramadı.,negative
kargosu çok hizli di̇yarbakir gi̇bi̇ yere 2 gunde geldi̇.apart sorunu var.netten i̇zledi̇ğm vi̇deolarda deği̇şi̇k aparatlardan bahsedi̇yordu.onlari da alinca artik si̇zi̇ kimse tutamaz.sessi̇z ve seri̇ çali̇isiyo.şi̇ddetle tavsiye ederi̇m,positive
çok kalitesiz özellikler ön koltukların arka tarafları,negative
bi yürütecte olmasi gereken her sey var. bu fiyata gore cok kaliteli sayilir bence. tavsiye ederim,positive
"bence alınacak bir ürün değil,tavsiye etmiyorum.",negative
İzlediğim en iyi filmlerden biri.dünya çapında bir film,positive
"pişirmesinden memnunum,  pişirme esnasında ters çevirmeyin, buhar deliğinden etin suyu akıyor",positive
tavsiye ederim. cihaz zaten apple. burada hepsiburadanın hizmetinden bahsetmek lazm. o da çok kaliteli ve güvenli.,positive
her açıdan güzel bi filmdi....sinemaya merakı olan herkesin mutlaka ama mutlaka izlemesi gereken bi film.Kesinlikle tavsiye ediyorum.,positive
"güzel kullanışlı,kolay montaj",positive
"ürün yatay olarak asılmaya müsait şekilde üzerinde 2 adet asma halkası vidalı şekilde geliyor, söküp dikey hale getirdiğinizde hiçbir denge sorunu yaşamadım.",positive
ürün yeni elime geçti.görsel den farklı olarak kayış rengi biraz daha koyu ve boyutu bıraz daha büyük.fakat ürünün duruşu cok güzel rakamlat falan harika gözüküyor.para ve kalıte uyumu bakımından kesınlikle değen bir ürün,positive
şansızlık mı bilmiyorum kulaklık takıldığında telefon görüşmesi yapıldığında karşıdan ses çok az geliyor int bağlantısı kesildi diye arada uyarı veriyor çok ısınıyor güncellemelere baktığımda bağlatı kesildi hatası veriyor güncellemeleri görüntüleyemiyorum güncelleme yapamadım sim kartı taktığımdan iade yapamadım sim kartı takmadan çoğu sorun ortaya çıkmayacaktı,negative
Gittikçe daha kötü ve sıkıcı olmaya başladı scary movie serisi.gerçekten korkunç kötü olmaya başaldı.ben 2.cd'de uyudum şahsen :),negative
kaliteli ürün tavsiye ederim,positive
kötüotein kalitesi iyice düştü aslında yeri çok güzel otele yazık ediyorlar yenilemeye alıp kaliteyi yükselte bilirler,negative
Plastik yapısı çok kırılgan. Her an başına birşey gelebilir diye kutuda gezdiriyorum. bilseydin bu kadar ince ve kırılgan olduğunu almazdım.,negative
gerçekten fragmanı bile çok güzel merakla bekliyorum ...,negative
hem titreşimli hemde iki telefon destekli olması güzel.,positive
üründe herhangi bir sorun yok ve  aldıktan iki gün sonra bana teslim edildi çok hızlılar.,positive
ürün isminden beklendiği kadar kaliteli değil. suyu gördüğü gibi parçalanıyor.,negative
gonderı ürün herşey mukemmel gerçek bak hemen alın hemen,positive
Harika bir yapıt! Natalie Portmanın oyunculuğu gelecekteki performansını görmenizi sağlayacak kadar sağlam. Profesyonel ve çok zeki bir tetikçi ile küçük çırağı. Gerçekten çok etkileyici bir film. 10/10,positive
arkadaşım için aldım. harika bir hediye oldu. çok güzel ve şık bir tırmık. herkese tavsiye edebileceğim bir kaliteye sahip.,positive
çok kötü bir yapım. konusu sıradan. efektler çok çok zayıf. makyajlar kötü. film inanılmaz bir basitlikler içermekte. özellikle george clooney'nin ve salma hayek'in bu filmde oynadığına inanamıyorum. ayrıca yapımcı ve yönetmeni vs.sağlam(kamera arkası kadrosuda). ama olmamış. asla tavsiye etmiyorum.,negative
sesli çalışıyor.,negative
bu kadar iğrenç bi film olamaz ya 1.siyle kıyaslanamaz kesinlikle beklediğimden kötü,negative
cok yumusak ve kullanisli,positive
"kullandiğim ve beğendi̇ği̇m bi̇r üründü,ürünün hizli ve sorunsuz tesli̇mi̇ tesli̇mi̇ beni̇ ayrica memnun etti̇. umarim başka i̇hti̇yaçlarimi da hepsi̇burada.com dan bulma şansim olur, teşekkür edi̇yor i̇yi̇ çalişmalar di̇li̇yorum.",positive
son bi kaç yılın köstebekle birlikte en iyisi..,positive
"objektifin otomotik af motoru bulunmadığından nikonun bazı modellerinde manuel netleme yapmak zorundasınız. bu fotoğraf makinaları d40, d40x, d60, d3000, d5000, d3100, d5100 dir. bu makinalar ile birlikte kullanacaksanız otomotik netlemeyi unutmanız gerekir.",negative
18 bıcak olunca ucların degdıgı alan az buda daha uzun suren bakım suresı demek.. urun gayet iyi. fiyatıda benzerlerinden daha iyi.,positive
ürünü aldım 'süper hızlı' yazmasına rağmen bugün kargoya verilmesi gerekirken henüz ürün hazırlanıyor olarak gözüküyor..ne zaman kargoya verilecek,negative
"evet tarantino, bi stili var iyi yönetmen amaaaa eğer şu yaz günü gidip bi sinemadan zev almak istiyosanız o bu film olamaz kesnlikle 2.5saat geçmek bilmedi. 5/10. o da tarantino hatrına..",negative
"işte benim beklediğim filmlerden biriydi..afrikada yaşananları bi nebze de olsa ortaya koyması, sürükleyici senaryosuyla etkili bi film.. tavsiye ederim!",positive
"Ürün iyi olabilir ama servis berbat, adamlar artist. İklimsa nasıl böyle servislerle çalışıyor anlamadım. tehtid falan ediyorlar. Sakın internetten almayın, taktırana kadar çok uğraşırsınız.",negative
geç açılıyor iyi güzel menü var,positive
fakat bozulunca herşey ortaya çıkıyor,negative
"bu filme yorum yapılmaz ki yani yorumsuz bu film..izledim we inanamadım, 2000 li yıllarda yok zombilerle, kurtadamlarla korku filmi mi kaldı ya..bide 1 tanede değil, 3 kardeşmi ne,aman yarabbi..beyni uçar insanın..10 üzerinden 1, oda emeğe saygımdan yani yoksa 0..hayret walla ne duydum ne gördüm..wasat ötesi..",negative
türkçe anos söylemi̇yor,negative
ürünü sipariş verdim ertesi gün elime geçti şimdiye kadar herhangi bir problemle karşılaşmadım ve bu fiyata bu kaliteyi beklemiyordum herkeze tavsiye ederim...,positive
"ürünün rengine bayılarak aldım ve aynen burada göründüğü gibi geldi. sadece bana göre biraz uzun geldi ve atlarken biraz ses çıkartıyor. gerisi mükemmel, tavsiye ederim..",positive
"film zaman zaman sıktı beni,romantizm ya da komedi beklemeyin sakın.köpek de çok iticiydi.kısacası basit bi köpek filmi olmuş,oyunculara yazık edilmiş bence.daha eğlendirici bi senaryo beklemiştim.",negative
gerçek deri değil ancak kaliteli bir vinil. direksiyonu yıpranmış ya da değişiklik isteyenlere kesinlikle tavsiye ederim. 2005 lancerime uyguladım mükemmel oldu. i̇p 50cm kadar arttı. dikme işi 2 saate yakın sürdü. mükemmel oldu.,positive
GÖKTAŞI NEREDEN ÇIKTI LAN ?,positive
İnanılmaz saçma film..Boşa zaman kaybetmeyin derim..1/10,negative
çok fazla beklentisi olmayanlar için idare eder işte.,negative
ben hiç begenmedım çok sıkıldım bekledıgım gıbı bır fılm dıgldı,negative
Filmin konusu iyi ama konuyu iyi işleyememişler yani seyirci cekmek icin Erotik yoğunluklu sahneler koymuşlar ama bence bu işe yaramamış,negative
hızlı kargo ve eksizsiz gönderim telefon fiyatına göre güzel ve özellikli kolay menü ve hassas dokunmatik kamera çekimi güzel net ve kalideli bir cekimi var almak isteyenlere  tavsiye ederim,positive
2 ay kullandım . temizleyici ama soyucu değil,negative
"cep telefonu gerek malzeme kalitesi,gerekse de özellikleri ile muhteşem. almayı düşünen arkadaşlara kesinlikle tavsiye ederim.",positive
sokaktaki 4 ayaklarım için aldım,positive
çok kaliteli ürün. uygun fiyat.,positive
"ethernal sunshine daki farklı performansından dolayı Carrey'nin bu filmde de ii bi performans sergileyeceği hissine kapılmıştım nedense; ama yanılmışım... farklı bi konu olsun diye çok kasmışlar, sonuçta ise saçma bişi çıkmış ortaya... vizyonda daha ii film bulunmazsa izlenebilcek bişi fakat alıp da dvd'den falan izlemek hem vakit hem para kaybı olur şahsi kanaatimce... ben 3/10 verdim",negative
Saçma sapan bir filim.......,negative
kamp alanında hem yemek hemde gündelik işleriniz için rahatlıkla severek kullandığım bu ürünü şuan yedek olarak aldım. zeytin sap kullandıkça gerçekten güzel bir renk alıyor. i̇nox olanı tercih ettim kolay kolay körelmiyor. kilit kelepçeside bana göre olması gereken güzel bir dizayn.,positive
İzlediğim en iyi animasyonlar arasında. 10/10,positive
"evdeki kedim bile kendisine prenses maması alınmasına rağmen sokaktakilere indirirken bu mamanın peşinden koşuyor. bütün kediler seve seve yiyor. fiyatı oldukça uygun, sokaktaki canlar bol bol yesinler diye kampanyaların sürekli olmasını umarız. bir de paketlerin içinde hediye kürek ya da kepçe olsa ne güzel olur :)",positive
telefondan çok memnun kaldık. kardeşime aldık. çok mutlu oldu. ürün satışı ile ilgili tüm aşamalardaki doğru ve güvenilir uygulamalarından dolayı hepsiburada'ya teşekkür ediyoruz.,positive
Sakın kimse almasın berbat bir ürün ben aldım teker teker her parçası bozuldu Korkmaz'ın hiç bir eloktironik eşyasını tavsiye etmiyorum,negative
2- ürün özelliklerinde herşey doğru  +,negative
renklerindeki asalet ve ürün kalitesi ile 10 numara. :),positive
"selamlar,çeyizim için almış olduğum tefal duduklu tencereden cok memnunum.zor pişen bütün  yemekleri kısa sürede lezzetli bir şekide pişiyor.hem zamandan hem gazdan tasarruflu lezzetli yemekler ;)",positive
"berbat ötesi bir film, sakın titaniğin oyuncularını görünce bişey sanıp heveslenmeyin, hayatımın 2 saatini bu filmi izleyerek çöpe attım. bir an evvel bitsin diye dua ettim okadar söyliyim..",negative
ürün gayet sevimli ve ele rahat sığıyor ve kullanımı da rahat ama biraz sert oğlumun cildini tahriş etti o nedenle şimdi sadece banyo yaparken oynasın diye küvete koyuyorum.ben memnun kalmadım,negative
buyuk olduğundan kullanışlı degil malesef. ancak bu fiyata gayet iyi.,positive
gigaset 6 sip hesaplı. ip telefon hepsiburada farkı ile. 4 ayrı marka ip telefon kullanıyorum en billur ses bu makinede. bu cihazı çok uygun fiyata sahip olmamı sağlayan hepsiburada firmasına teşekkürler.,positive
"george cooloney artık film çevirmesin,sinemadan uzak dursun nedir bu ya,hiç tavsiye etmiyorum,yazıklar olsun bu kadroyada,yönetmenede.",negative
fiyat+ performans +tasarım harika,positive
urunu kolonyaya benzeten yorumlara ragmen aldim ve sonuc hayal kirikligi oldu. bu parfum/kolonyaya en yakin koku rebul marka ice modeli kolonyadir. bu parayi hak etmiyor.,negative
su ana kadar kullandığım en iyi tablet diyebilirim,positive
hızlı kargo sıkıntısız ürün herşey için teşekkürler...,positive
arkadaşlar 9 ay kadar önce almıştım. 10400 mah değeri desteklemiyor ortalama 3000 mah' a sahip bir telefonu 3 defa deşarj halden full şarj yapması gerekirken 1 defa anca yapıyor. bazen 1 buçuk defa. ayrıca orjinal test kodunu sisteme girdiğim zaman daha önce 5 defa sorgulanmıştır diye bir ibare ile karşılaştım.,negative
4- eğer pi̇l arizaliysa dolum yapamadiğini beli̇rten sari işik yaniyor.,positive
Özel efektler olmadan ve hatta oyunculuğun üzerinde de fazla durulmadan bir film senaryosunun gücüyle takdire şayen bir yapıta dönüşe biliryormuş... Testere bu türü sevenlere düşmeyen temposu ve sürpriz finali ile harika dakikalar geçirtecek iddealı bir film... Hala görmediyseniz mutlaka görün.,positive
ürün çok güzeldi kayma felan yok gayet başarılı ellerinize sağlık,positive
uzak durun bu filmden..russel crow için izledim pişman oldum..10/1,negative
Cidden sizin gibi insanlarla aynı ülkede yaşadığım için kendimden utanıyorum! Aryakuş her zaman yanındayım(ız) umarım o pislik bir an önce yakalanır,negative
bence kitaba göre film çok basitti,negative
ürün sorunsuz bir şekilde elime ulaştı rengini de çok beğendim,positive
"toptan almak hem hesaplı hem de iki de bir markete gitme derdi yok. prima premium care bebek bezi çok güzel bir ürün bebeğimizde hiç tahriş yapmıyor. önemli olan onun sağlığı, tavsiye ederim. hepsiburada alilerime de ayrıca teşekkürler, çabuk kolay ve güvenilir bir alışveriş sağlandığı için.....",positive
Demir gibiyim yere çak girerim,positive
belki ana başlıklarda evet sorunu tanımlıyor olabilir ama sorunun çözümü ve karşılaşacağınız bir sonraki adımla ilgili bilgiyi bulabileceğiniz bir kitap olamamış tabi bu benim fikrim.,negative
ön koltuklarda olanlar normal. ama onlarda inip biberkwn kayıyor. lastik dikmek lazim,negative
klavye koruyucu hariç diğerleri kötü.,negative
"sandisk usb flash bellekler oldukça kaliteli ürünlermiş. aldım ve kullanıyorum çok memnunum.fiyatı çok uygun, kargo ise 2 günde getirdi.teşekkürler",positive
"fosfor yok , renksiz plastik parçalar.",negative
Boş bir film. Bana göre hiçbir artısı yok. Aksiyon desen oda yok. İçeriği boş anlamsız. Birkaç özel efekle sinema yaptıklarını zanletmişler. İzlenmeye değmez.,negative
Beni pek sarmadı açıkçası.,negative
